name,position,departments
Scott Aaronson,'Professor, David Bruton, Jr. Centennial Professorship in Computer Sciences #2','Theoretical Computer Science'
Sarah Abraham,'Assistant Professor of Instruction','Graphics and Visualization'
Aditya Akella,'Professor, Regents Chair in Computer Sciences #1','Computer Architecture','Operating Systems, Distributed Systems, and Networking'
Lorenzo Alvisi,'Professor Emeritus in Computer Sciences #5, Distinguished Teaching Professor Emeritus','Operating Systems, Distributed Systems, and Networking'
Joshua Baer,'Entrepreneur in Residence',
Chandrajit Bajaj,'Professor, Computational Applied Mathematics Chair in Visualization','Bioinformatics and Computational Biology','Graphics and Visualization','Machine Learning','Scientific Computing'
Don Batory ,'Professor Emeritus, David Bruton, Jr. Centennial Professorship In Computer Sciences #1','Formal Methods','Programming Languages and Compilers','Scientific Computing'
Angela Beasley,'Assistant Professor of Instruction',
Joydeep Biswas,'Assistant Professor','Artificial Intelligence','Intelligent Robotics'
James Bornholt,'Assistant Professor','Formal Methods','Operating Systems, Distributed Systems, and Networking','Programming Languages and Compilers'
Robert Boyer,'Professor Emeritus in Computer Science #4, Professor Emeritus in Computer Science #5',
William Bulko,'Assistant Professor of Instruction','Artificial Intelligence'
Siddhartha Chatterjee,'Professor of Instruction','Computer Architecture','Programming Languages and Compilers','Scientific Computing'
Swarat Chaudhuri,'Associate Professor','Artificial Intelligence','Formal Methods','Programming Languages and Compilers'
Shuchi Chawla,'Professor, Professorship in Computer Sciences #2','Theoretical Computer Science'
Vijay Chidambaram,'Associate Professor','Computer Architecture','Operating Systems, Distributed Systems, and Networking'
Eunsol Choi,'Assistant Professor','Artificial Intelligence','Machine Learning','Natural Language Processing'
Alan Cline,'David Bruton, Jr. Centennial Professor Emeritus in Computer Sciences #2, Distinguished Teaching Professor Emeritus',
Inderjit Dhillon,'Gottesman Family Centennial Professorship In Computer Sciences','Artificial Intelligence','Bioinformatics and Computational Biology','Machine Learning','Scientific Computing'
Işıl Dillig,'Professor','Artificial Intelligence','Formal Methods','Operating Systems, Distributed Systems, and Networking','Programming Languages and Compilers','Security and Privacy'
Glenn Downing,'Assistant Professor of Instruction',
Greg Durrett,'Assistant Professor','Artificial Intelligence','Machine Learning','Natural Language Processing'
E. Allen Emerson,'Regents Chair Emeritus in Computer Science #2','Formal Methods'
Konstantinos Ferles,'Postdoctoral Researcher',
Fares Fraij,'Assistant Professor of Instruction ',
Keith Fritz,'Research Engineer / Science Associate I','Human-Computer Interaction','Intelligent Robotics'
Don Fussell,'Department Chair, Professor, Trammell Crow Regents Professorship in Computer Science','Computer Architecture','Graphics and Visualization'
Anna Gal,'Professor','Theoretical Computer Science'
Ahmed Gheith,'Adjunct Assistant Professor',
Hans Ulrich Grasemann,'Research Scientist','Artificial Intelligence'
Kristen Grauman,'Professor, Professorship in Computer Sciences #4','Artificial Intelligence','Computer Vision','Graphics and Visualization','Machine Learning'
Zeyu Guo,'Postdoctoral Researcher',
Mikyung Han,'Associate Professor of Instruction','Operating Systems, Distributed Systems, and Networking'
Justin Hart,'Assistant Professor of Practice','Artificial Intelligence','Human-Computer Interaction','Intelligent Robotics'
David Harwath,'Assistant Professor','Artificial Intelligence','Computer Vision','Machine Learning','Natural Language Processing'
Qixing Huang,'Associate Professor','Artificial Intelligence','Computer Vision','Graphics and Visualization'
Shih-Han Hung,'Postdoctoral Researcher','Theoretical Computer Science'
Warren Hunt Jr. ,'Professor','Bioinformatics and Computational Biology','Computer Architecture','Formal Methods'
Nick Hunter-Jones,'Assistant Professor','Theoretical Computer Science'
Alexander Huth,'Assistant Professor','Artificial Intelligence','Bioinformatics and Computational Biology','Machine Learning'
Oliver Jensen,'Adjunct Assistant Professor',
 Qijia Jiang,'Postdoctoral Researcher','Machine Learning','Theoretical Computer Science'
MJ Johns,'Assistant Professor of Instruction',
Stephen Keckler,'Adjunct Professor',
Daehyeok Kim,'Assistant Professor','Operating Systems, Distributed Systems, and Networking'
Adam Klivans,'Professor','Artificial Intelligence','Machine Learning','Theoretical Computer Science'
Philipp Krähenbühl,'Associate Professor','Artificial Intelligence','Computer Vision','Graphics and Visualization','Machine Learning'
Benjamin Kuipers,'Professor Emeritus','Artificial Intelligence','Intelligent Robotics'
Devdatta Kulkarni,'Assistant Professor of Instruction',
Simon Lam,"Regents' Chair Emeritus in Computer Sciences #1",'Operating Systems, Distributed Systems, and Networking','Security and Privacy'
Karen Landolt,'Assistant Professor of Instruction',
Vladimir Lifschitz,'Professor Emeritus, Professorship in Computer Sciences #2','Artificial Intelligence','Formal Methods'
Calvin Lin,'Professor','Computer Architecture','Parallel Computing','Programming Languages and Compilers','Security and Privacy'
Qiang Liu,'Assistant Professor, Faculty Fellowship #7 in Computer Science','Artificial Intelligence','Machine Learning'
Roberto Martin-Martin,'Assistant Professor','Artificial Intelligence','Intelligent Robotics'
Ken McMillan,'Professor, Admiral B.R. Inman Centennial Chair in Computing Theory','Formal Methods','Programming Languages and Compilers'
Risto Miikkulainen,'Professor','Artificial Intelligence','Bioinformatics and Computational Biology','Machine Learning'
Anders Miltner,'Postdoctoral Researcher','Programming Languages and Compilers'
Daniel P.  Miranker,'Professor','Bioinformatics and Computational Biology'
Reuth Mirsky,'Postdoctoral Fellow',
